類型,公司代號 ,公司名稱 ,上市日,市場別,產業別,CFICode
股票 ,1101,台泥,1962/2/9,上市,水泥工業,ESVUFR
股票 ,1102,亞泥,1962/6/8,上市,水泥工業,ESVUFR
股票 ,1103,嘉泥,1969/11/14,上市,水泥工業,ESVUFR
股票 ,1104,環泥,1971/2/1,上市,水泥工業,ESVUFR
股票 ,1108,幸福,1990/6/6,上市,水泥工業,ESVUFR
股票 ,1109,信大,1991/12/5,上市,水泥工業,ESVUFR
股票 ,1110,東泥,1994/10/22,上市,水泥工業,ESVUFR
股票 ,1201,味全,1962/2/9,上市,食品工業,ESVUFR
股票 ,1203,味王,1964/8/24,上市,食品工業,ESVUFR
股票 ,1210,大成,1978/5/20,上市,食品工業,ESVUFR
股票 ,1213,大飲,1981/4/10,上市,食品工業,ESVUFR
股票 ,1215,卜蜂,1987/7/27,上市,食品工業,ESVUFR
股票 ,1216,統一,1987/12/28,上市,食品工業,ESVUFR
股票 ,1217,愛之味,1989/10/28,上市,食品工業,ESVUFR
股票 ,1218,泰山,1989/11/11,上市,食品工業,ESVUFR
股票 ,1219,福壽,1990/12/1,上市,食品工業,ESVUFR
股票 ,1220,台榮,1991/11/20,上市,食品工業,ESVUFR
股票 ,1225,福懋油,1993/9/27,上市,食品工業,ESVUFR
股票 ,1227,佳格,1994/4/9,上市,食品工業,ESVUFR
股票 ,1229,聯華,1976/7/19,上市,食品工業,ESVUFR
股票 ,1231,聯華食,1995/11/2,上市,食品工業,ESVUFR
股票 ,1232,大統益,1996/2/9,上市,食品工業,ESVUFR
股票 ,1233,天仁,1999/1/20,上市,食品工業,ESVUFR
股票 ,1234,黑松,1999/3/12,上市,食品工業,ESVUFR
股票 ,1235,興泰,2000/9/11,上市,食品工業,ESVUFR
股票 ,1236,宏亞,2001/9/17,上市,食品工業,ESVUFR
股票 ,1256,鮮活果汁-KY,2016/3/17,上市,食品工業,ESVUFR
股票 ,1301,台塑,1964/7/27,上市,塑膠工業,ESVUFR
股票 ,1303,南亞,1967/11/5,上市,塑膠工業,ESVUFR
股票 ,1304,台聚,1972/5/20,上市,塑膠工業,ESVUFR
股票 ,1305,華夏,1973/3/5,上市,塑膠工業,ESVUFR
股票 ,1307,三芳,1985/11/23,上市,塑膠工業,ESVUFR
股票 ,1308,亞聚,1986/6/20,上市,塑膠工業,ESVUFR
股票 ,1309,台達化,1986/6/27,上市,塑膠工業,ESVUFR
股票 ,1310,台苯,1987/8/6,上市,塑膠工業,ESVUFR
股票 ,1312,國喬,1988/12/21,上市,塑膠工業,ESVUFR
股票 ,1313,聯成,1989/3/27,上市,塑膠工業,ESVUFR
股票 ,1314,中石化,1991/7/12,上市,塑膠工業,ESVUFR
股票 ,1315,達新,1992/5/9,上市,塑膠工業,ESVUFR
股票 ,1316,上曜,1992/10/15,上市,建材營造業,ESVUFR
股票 ,1319,東陽,1994/12/12,上市,汽車工業,ESVUFR
股票 ,1321,大洋,1999/1/26,上市,塑膠工業,ESVUFR
股票 ,1323,永裕,2000/9/11,上市,塑膠工業,ESVUFR
股票 ,1324,地球,2000/9/11,上市,塑膠工業,ESVUFR
股票 ,1325,恆大,2000/9/11,上市,塑膠工業,ESVUFR
股票 ,1326,台化,1984/12/20,上市,塑膠工業,ESVUFR
股票 ,1337,再生-KY,2011/7/1,上市,塑膠工業,ESVUFR
股票 ,1338,廣華-KY,2012/12/19,上市,汽車工業,ESVUFR
股票 ,1339,昭輝,2012/4/24,上市,汽車工業,ESVUFR
股票 ,1340,勝悅-KY,2013/12/6,上市,塑膠工業,ESVUFR
